Industry_code_NZSIOC,Value
DD,1166
DD,13
DD,10305
DD,349
DD,360
DD,420
DD,2576
DD,61579
DD,5524
DD,50180
DD,2520
DD,394
DD,5875
DD,61579
DD,33331
DD,5849
DD,22398
DD,1124900
DD,167700
DD,94
DD,87
DD,8
DD,4
DD,54
EE112,9235
EE112,9180
EE112,C
EE112,2
EE112,C
EE112,8894
EE112,91
EE112,20
EE112,89
EE112,1249
EE112,1
EE112,7412
EE112,33
EE112,1226
EE112,1462
EE112,577
EE112,4648
EE112,3314
EE112,881
EE112,247
EE112,122
EE112,453
EE112,4648
EE112,1042
EE112,2733
EE112,873
EE112,510200
EE112,31900
EE112,121
EE112,68
EE112,55
EE112,12
EE112,22
EE113,5795
EE113,5700
EE113,C
EE113,0
EE113,C
EE113,5540
EE113,39
EE113,10
EE113,33
EE113,680
EE113,0
EE113,4760
EE113,18
EE113,480
EE113,506
EE113,281
EE113,3381
EE113,1809
EE113,438
EE113,122
EE113,44
EE113,1134
EE113,3381
EE113,1324
EE113,1612
EE113,445
EE113,630600
EE113,30600
EE113,112
EE113,81
EE113,21
EE113,8
EE113,39
EE11,15030
EE11,14880
EE11,110
EE11,3
EE11,37
EE11,14434
EE11,129
EE11,30
EE11,122
EE11,1930
EE11,2
EE11,12172
EE11,51
EE11,1706
EE11,1968
EE11,858
EE11,8029
EE11,5123
EE11,1319
EE11,369
EE11,167
EE11,1586
EE11,8029
EE11,2366
EE11,4345
EE11,1318
EE11,550800
EE11,31400
EE11,118
EE11,73
EE11,36
EE11,11
EE11,29
EE121,9872
EE121,9823
EE121,29
EE121,0
EE121,19
EE121,9381
EE121,65
EE121,47
EE121,236
EE121,2135
EE121,3
EE121,6868
EE121,29
EE121,167
EE121,162
EE121,486
EE121,5177
EE121,2968
EE121,1476
EE121,420
EE121,83
EE121,732
EE121,5177
EE121,2274
EE121,2123
EE121,779
EE121,318400
EE121,15700
EE121,140
EE121,132
EE121,21
EE121,9
EE121,44
EE12,9872
EE12,9823
EE12,29
EE12,0
EE12,19
EE12,9381
EE12,65
EE12,47
EE12,236
EE12,2135
EE12,3
EE12,6868
EE12,29
EE12,167
EE12,162
EE12,486
EE12,5177
EE12,2968
EE12,1476
EE12,420
EE12,83
EE12,732
EE12,5177
EE12,2274
EE12,2123
EE12,779
EE12,318400
EE12,15700
EE12,140
EE12,132
EE12,21
EE12,9
EE12,44
EE131,16529
EE131,16323
EE131,71
EE131,1
EE131,134
EE131,15228
EE131,254
EE131,105
EE131,395
EE131,4126
EE131,7
EE131,10148
EE131,200
EE131,1560
EE131,1722
EE131,1463
EE131,11858
EE131,6295
EE131,3840
EE131,953
EE131,372
EE131,1724
EE131,11858
EE131,3262
EE131,5478
EE131,3118
EE131,229400
EE131,20300
EE131,115
EE131,83
EE131,45
EE131,12
EE131,28
EE13,16529
EE13,16323
EE13,71
EE13,1
EE13,134
EE13,15228
EE13,254
EE13,105
EE13,395
EE13,4126
EE13,7
EE13,10148
EE13,200
EE13,1560
EE13,1722
EE13,1463
EE13,11858
EE13,6295
EE13,3840
EE13,953
EE13,372
EE13,1724
EE13,11858
EE13,3262
EE13,5478
EE13,3118
EE13,229400
EE13,20300
EE13,115
EE13,83
EE13,45
EE13,12
EE13,28
EE,41430
EE,41027
EE,210
EE,4
EE,190
EE,39043
EE,448
EE,182
EE,754
EE,8191
EE,12
EE,29188
EE,280
EE,3433
EE,3853
EE,2807
EE,25064
EE,14386
EE,6635
EE,1742
EE,622
EE,4042
EE,25064
EE,7903
EE,11945
EE,5216
EE,317800
EE,21500
EE,120
EE,88
EE,36
EE,11
EE,32
FF111,19288
FF111,17305
FF111,1884
FF111,41
FF111,C
FF111,C
FF111,18696
FF111,89
FF111,45
FF111,146
FF111,1122
FF111,4
FF111,14114
FF111,3096
FF111,83
FF111,1908
FF111,1966
FF111,651
FF111,8128
FF111,5866
FF111,1185
FF111,295
FF111,110
FF111,1077
FF111,8128
FF111,3196
FF111,3626
FF111,1305
FF111,1037700
FF111,35000
FF111,162
FF111,108
FF111,18
FF111,20
FF111,8
FF111,39
FF112,17921
FF112,15083
FF112,2565
FF112,159
FF112,1
FF112,113
FF112,16975
FF112,146
FF112,51
FF112,189
FF112,2206
FF112,9
FF112,11677
FF112,2555
FF112,151
FF112,2659
FF112,2576
FF112,863
FF112,10832
FF112,7571
FF112,921
FF112,364
FF112,129
FF112,2339
